ID,Active,Client,Product,Reference Number,Reference Name,Serial Number,Install Date,Warranty Expiration Date,Monthly Cost,# of Users,NinjaRMM-DeviceID
24331,Active,Complete Health,ThinkPad E16 - Gen 1,2902,CH-2902,PF4EYDJ8,08/15/2023,08/14/2024,,,6168
24332,Active,Complete Health,ThinkPad E16 - Gen 1,2878,CH-2878,PF4E6VHH,08/15/2023,08/14/2024,,,
24333,Active,Complete Health,ThinkPad E16 - Gen 1,2905,CH-2905,PF4E6CPK,08/15/2023,08/14/2024,,,6177
24334,Active,Complete Health,ThinkPad E16 - Gen 1,2879,CH-2879,PF4E6SD0,08/15/2023,08/14/2024,,,
24335,Active,Complete Health,ThinkPad E16 - Gen 1,2904,CH-2904,PF4EY7K8,08/15/2023,08/14/2024,,,6173
24336,Active,Complete Health,ThinkPad E16 - Gen 1,2903,CH-2903,PF4E6VLM,08/15/2023,08/14/2024,,,6170
24425,Active,Complete Health,ThinkPad E16 - Gen 1,2984,CH-2984,PF4E6MX3,08/15/2023,08/14/2024,,,6058
24480,Active,Complete Health,ThinkPad E16 - Gen 1,2860,CH-2860,PF4EYFB9,08/15/2023,08/14/2024,,,6082
24481,Active,Complete Health,ThinkPad E16 - Gen 1,2838,CH-2838,PF4E6SEK,08/15/2023,08/14/2024,,,6073
24484,Active,Complete Health,ThinkPad E16 - Gen 1,2845,CH-2845,PF4E6Q30,08/15/2023,08/14/2024,,,6087
24535,Active,Complete Health,ThinkPad E16 - Gen 1,2867,CH-2867,PF4EHJ8Y,08/31/2023,08/30/2024,,,
24536,Active,Complete Health,ThinkPad E16 - Gen 1,2868,CH-2868,PF4EZFJ3,08/31/2023,08/30/2024,,,6111
24537,Active,Complete Health,ThinkPad E16 - Gen 1,2869,CH-2869,PF4E83B3,08/31/2023,08/30/2024,,,6114
24538,Active,Complete Health,ThinkPad E16 - Gen 1,2870,CH-2870,PF4E85KT,08/31/2023,08/30/2024,,,
24539,Active,Complete Health,ThinkPad E16 - Gen 1,2871,CH-2871,PF4EZG51,08/31/2023,08/30/2024,,,
24542,Active,Complete Health,ThinkPad E16 - Gen 1,2875,CH-2875,PF4ERD2P,08/31/2023,08/30/2024,,,
24546,Active,Complete Health,ThinkPad E16 - Gen 1,2866,CH-2866,PF4EHZV6,08/31/2023,08/30/2024,,,
26017,Active,Complete Health,ThinkPad E16 - Gen 1,2888,CH-2888,PF4EJ2B3,08/31/2023,08/30/2024,,,
26018,Active,Complete Health,ThinkPad E16 - Gen 1,2889,CH-2889,PF4EZH53,08/31/2023,08/30/2024,,,
26021,Active,Complete Health,ThinkPad E16 - Gen 1,2890,CH-2890,PF4EYZ6S,08/31/2023,08/30/2024,,,6127
26053,Active,Complete Health,ThinkPad E16 - Gen 1,2525,CH-2525,PF4HHXPK,09/08/2023,09/12/2024,,,6199
26054,Active,Complete Health,ThinkPad E16 - Gen 1,2526,CH-2526,PF4HHXNK,09/08/2023,09/12/2024,,,
26055,Active,Complete Health,ThinkPad E16 - Gen 1,2527,CH-2527,PF4HHZ89,09/08/2023,09/12/2024,,,6203
26056,Active,Complete Health,ThinkPad E16 - Gen 1,2528,CH-2528,PF4HRJTN,09/08/2023,09/12/2024,,,6204
26057,Active,Complete Health,ThinkPad E16 - Gen 1,2537,CH-2537,PF4HZ5JP,09/08/2023,09/12/2024,,,
26060,Active,Complete Health,ThinkPad E16 - Gen 1,2898,CH-2898,PF4EYM5V,08/31/2023,08/30/2024,,,6143
26063,Active,Complete Health,ThinkPad E16 - Gen 1,2897,CH-2897,PF4E6EAE,08/31/2023,08/30/2024,,,
26065,Active,Complete Health,ThinkPad E16 - Gen 1,2896,CH-2896,PF4E7T8R,08/31/2023,08/30/2024,,,6142
26073,Active,Complete Health,ThinkPad E16 - Gen 1,2895,CH-2895,PF4EYXKF,08/31/2023,08/30/2024,,,
26074,Active,Complete Health,ThinkPad E16 - Gen 1,2894,CH-2894,PF4EYR7L,08/31/2023,08/30/2024,,,6137
26108,Active,Complete Health,ThinkPad E16 - Gen 1,2906,CH-2906,PF4H9XBF,09/25/2023,09/24/2024,,,6178
26110,Active,Complete Health,ThinkPad E16 - Gen 1,2882,CH-2882,PF4H9QA5,09/25/2023,09/24/2024,,,6193
26111,Active,Complete Health,ThinkPad E16 - Gen 1,2884,CH-2884,PF4HGYAC,09/25/2023,09/24/2024,,,6195
26112,Active,Complete Health,ThinkPad E16 - Gen 1,2883,CH-2883,PF4H9Q9H,09/25/2023,09/24/2024,,,6194
26113,Active,Complete Health,ThinkPad E16 - Gen 1,2880,CH-2880,PF4H7RLH,09/25/2023,09/24/2024,,,6191
26114,Active,Complete Health,ThinkPad E16 - Gen 1,2881,CH-2881,PF4H9MDW,09/25/2023,09/24/2024,,,6192
26138,Active,Complete Health,ThinkPad E16 - Gen 1,2543,CH-2543,PF4HGX6V,09/08/2023,09/25/2024,,,6218
26139,Active,Complete Health,ThinkPad E16 - Gen 1,2544,CH-2544,PF4HGY9G,09/08/2023,09/25/2024,,,
26140,Active,Complete Health,ThinkPad E16 - Gen 1,2547,CH-2547,PF4HRT44,09/08/2023,09/25/2024,,,
26141,Active,Complete Health,ThinkPad E16 - Gen 1,2548,CH-2548,PF4HQAKR,09/08/2023,09/25/2024,,,
26142,Active,Complete Health,ThinkPad E16 - Gen 1,2945,CH-2945,PF4HGSNQ,09/08/2023,09/25/2024,,,6224
26160,Active,Complete Health,ThinkPad E16 - Gen 1,2538,CH-2538,PF4HQEEK,09/08/2023,09/25/2024,,,6209
26161,Active,Complete Health,ThinkPad E16 - Gen 1,2539,CH-2539,PF4HGX6F,09/08/2023,09/25/2024,,,6211
26162,Active,Complete Health,ThinkPad E16 - Gen 1,2540,CH-2540,PF4HHXLJ,09/08/2023,09/25/2024,,,6213
26163,Active,Complete Health,ThinkPad E16 - Gen 1,2541,CH-2541,PF4H9LAL,09/08/2023,09/25/2024,,,
26164,Active,Complete Health,ThinkPad E16 - Gen 1,2542,CH-2542,PF4HGVTN,09/08/2023,09/25/2024,,,6215
26315,Active,Pioneer Pest Services,ThinkPad E16 - Gen 1,,Lenovo ThinkPad E16 - AMD,SPF4HHXNR,10/13/2023,10/12/2024,,,
26317,Active,Complete Health,ThinkPad E16 - Gen 1,2782,CH-2782,PF4HGVS9,10/12/2023,10/17/2024,,,
26318,Active,Complete Health,ThinkPad E16 - Gen 1,2783,CH-2783,PF4HGSM7,10/12/2023,10/18/2024,,,
26324,Active,Complete Health,ThinkPad E16 - Gen 1,2805,CH-2805,PF4HZ82B,10/17/2023,10/16/2024,,,
26325,Active,Complete Health,ThinkPad E16 - Gen 1,2781,CH-2781,PF4HZ9RN,10/16/2023,10/17/2024,,,
26348,Active,"Engineering Operations, LLC",ThinkPad E16 - Gen 1,,Lenovo ThinkPad E16 - AMD,SPF4HRL55,10/19/2023,10/18/2024,,,
26350,Active,Complete Health,ThinkPad E16 - Gen 1,2786,CH-2786,PF4HGVVJ,10/11/2023,10/10/2024,,,
26353,Active,Complete Health,ThinkPad E16 - Gen 1,2765,CH-2765,PF4HS5QF,10/11/2023,10/10/2024,,,
26357,Active,Complete Health,ThinkPad E16 - Gen 1,2788,CH-2788,PF4HS5V0,10/11/2023,10/10/2024,,,
26371,Active,Complete Health,ThinkPad E16 - Gen 1,2774,CH-2774,PF4HH4J8,10/11/2023,10/10/2024,,,
26380,Active,Complete Health,ThinkPad E16 - Gen 1,2754,CH-2754,PF4HQEDE,11/02/2023,11/01/2024,,,
26540,Active,Complete Health,ThinkPad E16 - Gen 1,2654,CH-2654,PF4P1LE2,12/04/2023,12/03/2024,,,
